;Topic_Nr;Words;Probability
83;83;stat, wort, Regenspurg, angesehen, verleßen, Ulm, executorn, rethe, Baden, Pomern;0.013347216, 0.010968633, 0.0094272625, 0.009120248, 0.008719213, 0.008683733, 0.0071836123, 0.0066624046, 0.0066119423, 0.006554099
84;84;anschlag, rath, Arnbergk, fursten, erhoben, anschlagk, Coln, graff, Trier, Meintz;0.013061434, 0.012851905, 0.01271628, 0.011569717, 0.01083784, 0.009633857, 0.009217857, 0.008824067, 0.008517208, 0.008328999
85;85;stende, einzuziehen, augspurgischen, 66, graven, confeßion, herrn, stiffter, abschieden, herkommen;0.019336373, 0.011396892, 0.011035116, 0.010085103, 0.0095136035, 0.0094610555, 0.008074231, 0.0076720053, 0.0067537017, 0.0067135915
86;86;adiunctis, Dr, Junii, gravaminibus, Regenspurg, ubergeben, caesarem, zeit, Caesar, cum;0.0066966265, 0.0035227486, 0.0034391212, 0.0034305854, 0.003408229, 0.0034068779, 0.0034049004, 0.0034046175, 0.003404301, 0.0034029535
87;87;Trier, Pfaltz, Coln, Sachssen, sachen, Meintz, zuthun, dohin, bedencken, meynunge;0.016060105, 0.011481089, 0.010957333, 0.009924616, 0.009387097, 0.009231778, 0.008633715, 0.008185864, 0.0075457804, 0.007304206
88;88;muntz, müntz, probation, edict, müntzordnung, silber, ordenunge, straff, zuhalten, gar;0.01759601, 0.011999533, 0.010810581, 0.009774735, 0.009543005, 0.009512091, 0.008082233, 0.0074953223, 0.007016219, 0.0065226974
89;89;bedenckhen, rath, refferiert, stenden, raths, legation, abschidt, bewenden, gleich, Bairn;0.010836815, 0.0077592926, 0.00773235, 0.006268503, 0.006227682, 0.0061979243, 0.0061954306, 0.006188937, 0.004750359, 0.004718196
90;90;catholischen, catholische, religion, augspurgischen, gravamina, resolution, confession, stennd, ubergeben, declaration;0.030489327, 0.0247148, 0.021544399, 0.01948177, 0.015484187, 0.012178706, 0.010440541, 0.009837305, 0.009399716, 0.009220385
91;91;hülff, usschus, crais, stendt, jar, Reich, pfennig, anno, herr, herrn;0.011346795, 0.009692108, 0.008252413, 0.008080797, 0.0072891284, 0.006721524, 0.0063256496, 0.006197582, 0.0059493026, 0.0053488635
92;92;hülff, crais, underhaltung, gemainen, pferdt, jars, verfassung, executions, driten, wusten;0.011803682, 0.010684048, 0.009813763, 0.008463275, 0.008194271, 0.007033536, 0.006402283, 0.0059980513, 0.005974016, 0.0054757237
93;93;sachen, herr, friden, vergleichen, stenden, anno, rath, bedacht, herrn, gar;0.01004152, 0.00817757, 0.005802187, 0.005756292, 0.0055681337, 0.0055263434, 0.0055135703, 0.005471623, 0.004873873, 0.0047743977
94;94;monath, stenden, gantzen, Pommern, catholischen, monat, bedenckhen, gar, Österreich, stende;0.0114765605, 0.0065340623, 0.006527018, 0.0057375664, 0.0056205625, 0.005059103, 0.004080973, 0.004073143, 0.004072998, 0.0040654796
95;95;contra, puncto, decret, concept, abgelesen, bedenckhen, Furstenrath, rath, müntz, Lassen;0.015636371, 0.0125487195, 0.010022162, 0.0097460635, 0.008841048, 0.007907196, 0.0078070546, 0.007570948, 0.0067522647, 0.006517806
96;96;rath, caution, proposition, schaden, anno, straff, vorbrecher, churfursten, Julii, fursten;0.014509767, 0.009944706, 0.009451948, 0.009248395, 0.007948613, 0.0064745466, 0.0064563244, 0.0056117903, 0.0055493307, 0.0052349702
97;97;ghen, Junii, usschus, motiva, quam, armis, Battori, argumenta, sachen, fürstenrath;0.027801909, 0.016318392, 0.015565448, 0.011885982, 0.008073356, 0.0077692084, 0.0077408734, 0.007160227, 0.006699187, 0.006642536
98;98;di, jungst, cesar, ding, Brandenburg, Pfaltz, juramenten, gegentheil, mans, helffen;0.011885552, 0.008546268, 0.008494481, 0.008334469, 0.0068165353, 0.0068146545, 0.0067989463, 0.006798945, 0.0051331427, 0.0051051388
99;99;religion, catholische, churfursten, schreiben, anno, weitters, geistliche, declaration, fursten, Sei;0.013281, 0.0079204105, 0.007905091, 0.006945033, 0.006277692, 0.005510252, 0.005507965, 0.0053613647, 0.0052661323, 0.005226394
